Domain	Phylum	Class	Order	Family	Genus	Species
meta_mOTU_v2_6559	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:628
meta_mOTU_v2_6892	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:628
meta_mOTU_v2_5455	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_5697	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_6346	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6106	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5310	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6577	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5935	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5943	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma sp. CAG:878
meta_mOTU_v2_6244	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7169	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6506	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7517	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_6719	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5660	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6322	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
